NAME,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,FIPS,POPULATION,POP_SQMI,SQMI,Homicide_Prev,Hospital,Transit,sum_Area_SquareKilomete,Polygon_Count,AnalysisArea,Homicide
Alameda County,California,CA,6,1,6001,1682353,2257,745.4,1.28843433,0.01057709,23.33981017,1922.882351,8,1927.536373,-1.28843433
Alpine County,California,CA,6,3,6003,1204,1.6,743.19,0.00001602,0.00000056,0.00037806,1894.732707,1,1894.732706,-0.00001602
Amador County,California,CA,6,5,6005,40474,66.8,605.95,0.00001302,0.00004266,0.00030718,1542.701135,1,1542.701132,-0.00001302
Butte County,California,CA,6,7,6007,211632,126.2,1677.13,0.00003698,0.0000013,0.00087268,4308.887821,1,4308.887821,-0.00003698
Calaveras County,California,CA,6,9,6009,45292,43.7,1036.92,0.00002249,0.00000141,0.00053078,2674.414404,1,2674.414406,-0.00002249
Colusa County,California,CA,6,11,6011,21839,18.9,1156.36,0.00002571,0.0000009,0.00060666,3015.897779,1,3015.897781,-0.00002571
Contra Costa County,California,CA,6,13,6013,1165927,1580.1,737.89,1.09131231,0.00978415,5.17678713,1924.234609,10,1930.936244,-1.09131231
Del Norte County,California,CA,6,15,6015,27743,27.4,1012.74,0.00002349,0.00000083,0.00055446,2654.242884,1,2655.571359,-0.00002349
El Dorado County,California,CA,6,17,6017,191185,107,1786.36,0.00003926,0.0001098,0.00092655,4632.104187,1,4632.10419,-0.00003926
Fresno County,California,CA,6,19,6019,1008654,167.8,6011.13,0.28244245,0.00000446,3.14586849,15384.32012,3,15384.32012,-0.28244245
Glenn County,California,CA,6,21,6021,28917,21.8,1326.98,0.00002924,0.00000103,0.00068995,3409.824848,1,3409.824845,-0.00002924
Humboldt County,California,CA,6,23,6023,136463,38.1,3584.77,0.00008086,0.00000284,0.001908,9280.975106,1,9284.018143,-0.00008086
Imperial County,California,CA,6,25,6025,179702,40.1,4480.66,0.00009157,0.00000322,0.0021612,11601.45547,1,11603.30449,-0.00009157
Inyo County,California,CA,6,27,6027,19016,1.9,10227.1,0.00021535,0.00000757,0.00508208,26180.07086,1,26180.07085,-0.00021535
Kern County,California,CA,6,29,6029,909235,111.4,8164.92,0.00017179,0.00000604,0.00405428,21189.93484,1,21189.93484,-0.00017179
Kings County,California,CA,6,31,6031,152486,109.5,1392.2,0.00002927,0.00000103,0.00069086,3578.361695,1,3578.361694,-0.00002927
Lake County,California,CA,6,33,6033,68163,51.3,1329.43,0.00002899,0.00000102,0.00068418,3405.143107,1,3405.143106,-0.00002899
Lassen County,California,CA,6,35,6035,32730,6.9,4720.12,0.00010578,0.00000372,0.00249648,12147.66547,1,12147.66548,-0.00010578
Los Angeles County,California,CA,6,37,6037,10014009,2451.4,4085.07,3.86563331,0.14879785,101.7877703,10635.46155,14,10647.47211,-3.86563331
Madera County,California,CA,6,39,6039,156255,72.6,2153.24,0.05005211,0.00000161,0.00147901,5517.609483,3,5517.609484,-0.05005211
Marin County,California,CA,6,41,6041,262321,499.6,525.04,2.04073443,0.07752411,21.38445934,1396.780101,9,1403.170995,-2.04073443
Mariposa County,California,CA,6,43,6043,17131,11.7,1462.82,0.00003216,0.00000113,0.00075887,3855.732954,1,3855.732952,-0.00003216
Mendocino County,California,CA,6,45,6045,91601,26.1,3513.13,0.00007736,0.00000272,0.00182562,9043.016414,1,9046.229952,-0.00007736
Merced County,California,CA,6,47,6047,281202,142.1,1978.65,0.00004199,0.00000148,0.00099088,5060.264631,1,5060.264632,-0.00004199
Modoc County,California,CA,6,49,6049,8700,2.1,4203.26,0.00009621,0.00000338,0.00227059,10897.90853,1,10897.90852,-0.00009621
Mono County,California,CA,6,51,6051,13195,4.2,3131.8,0.00006806,0.00000239,0.00160616,8122.01141,1,8122.011409,-0.00006806
Monterey County,California,CA,6,53,6053,439035,132.5,3313.28,0.00007061,0.00000981,0.00166644,8615.525913,1,8618.09773,-0.00007061
Napa County,California,CA,6,55,6055,138019,175.5,786.33,0.04083916,0.00272568,0.00040529,2033.493976,3,2034.245121,-0.04083916
Nevada County,California,CA,6,57,6057,102241,105,973.8,0.0000216,0.00000076,0.0005098,2530.244026,1,2530.244023,-0.0000216
Orange County,California,CA,6,59,6059,3186989,4003.4,796.08,0.23111698,0.02282347,8.67479416,2061.300105,7,2065.317348,-0.23111698
Placer County,California,CA,6,61,6061,404739,269.4,1502.24,0.00234729,0.00026284,0.0007783,3875.622645,2,3875.622642,-0.00234729
Plumas County,California,CA,6,63,6063,19790,7.6,2613.45,0.00005837,0.00000205,0.0013776,6768.932476,1,6768.932475,-0.00005837
Riverside County,California,CA,6,65,6065,2418185,331.1,7303.18,0.01006326,0.01084463,0.36970545,18894.87095,2,18894.87096,-0.01006326
Sacramento County,California,CA,6,67,6067,1585055,1615.9,980.93,0.03568267,0.00066542,2.62049702,2469.443601,2,2470.638133,-0.03568267
San Benito County,California,CA,6,69,6069,64209,46.2,1390.48,0.00002951,0.00000104,0.00069634,3582.823156,1,3582.823157,-0.00002951
San Bernardino County,California,CA,6,71,6071,2181654,108.5,20105.24,0.12417408,0.01114384,4.03514545,52230.54019,3,52230.54019,-0.12417408
San Diego County,California,CA,6,73,6073,3298634,778.7,4236.31,0.30946831,0.02134435,18.08232305,11046.62902,4,11056.57116,-0.30946831
San Francisco County,California,CA,6,75,6075,873965,18492.7,47.26,0.53700496,0.00312029,17.88714311,120.733731,2,122.3685298,-0.53700496
San Joaquin County,California,CA,6,77,6077,779233,546.2,1426.74,0.25420208,0.0009955,0.00072995,3690.924432,3,3691.249753,-0.25420208
San Luis Obispo County,California,CA,6,79,6079,282424,85.1,3319.47,0.00007026,0.00000247,0.001658,8661.781679,1,8664.543022,-0.00007026
San Mateo County,California,CA,6,81,6081,764442,1709.4,447.21,1.40396202,0.01141556,18.97593789,1143.447716,8,1148.054177,-1.40396202
Santa Barbara County,California,CA,6,83,6083,448229,163.1,2748.03,0.13184789,0.00462116,3.1082208,7096.454647,3,7111.85608,-0.13184789
Santa Clara County,California,CA,6,85,6085,1936259,1490.4,1299.18,0.04374745,0.004617,2.48615269,3323.562381,4,3325.031635,-0.04374745
