NAME,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,FIPS,POPULATION,POP_SQMI,SQMI,Homicide_Prev,Hospital,Transit,sum_Area_SquareKilometers,Polygon_Count,AnalysisArea,Homicide
Anderson County,Texas,TX,48,1,48001,57922,53.7,1078,0.00037738,0.00000077,0.00311016,2777.039258,1,2777.039257,-0.00037738
Andrews County,Texas,TX,48,3,48003,18610,12.4,1501.09,0.00052432,0.00000106,0.00193128,3838.3464,1,3841.471608,-0.00052432
Angelina County,Texas,TX,48,5,48005,86395,99.9,864.78,0.00029868,0.00000061,0.79800291,2210.868937,1,2210.868935,-0.00029868
Aransas County,Texas,TX,48,7,48007,23830,92.5,257.68,0.08729891,0.00399029,0.00217195,766.826158,2,779.795901,-0.08729891
Archer County,Texas,TX,48,9,48009,8560,9.2,925.59,0.00033284,0.00000068,0.09431626,2401.332295,1,2401.332295,-0.00033284
Armstrong County,Texas,TX,48,11,48011,1848,2,913.83,0.00033247,0.00000067,4.72149071,2361.167223,1,2361.167223,-0.00033247
Atascosa County,Texas,TX,48,13,48013,48981,40.1,1221.47,0.00688583,0.00052101,18.55137374,3235.40522,2,3235.405218,-0.00688583
Austin County,Texas,TX,48,15,48015,30167,46,656.38,0.00022687,0.00015157,0.00213184,1702.791576,1,1702.791576,-0.00022687
Bailey County,Texas,TX,48,17,48017,6904,8.3,827.66,0.00028975,0.00000059,1.83899559,2079.670967,1,2079.679847,-0.00028975
Bandera County,Texas,TX,48,19,48019,20851,26.1,797.72,0.00029216,0.0003024,0.07704355,2195.607299,1,2195.607297,-0.00029216
Bastrop County,Texas,TX,48,21,48021,97216,108.6,895.57,0.00031139,0.00103557,0.00159772,2332.109555,1,2332.109552,-0.00031139
Baylor County,Texas,TX,48,23,48023,3465,3.8,901.07,0.00031769,0.00000064,0.00194591,2292.065941,1,2292.065939,-0.00031769
Bee County,Texas,TX,48,25,48025,31047,35.3,880.33,0.0003086,0.00000063,0.00126709,2349.061525,1,2349.061524,-0.0003086
Bell County,Texas,TX,48,27,48027,370647,340,1090.28,0.00037789,0.00095266,0.07538332,2803.383696,1,2803.383697,-0.00037789
Bexar County,Texas,TX,48,29,48029,2009324,1599.7,1256.07,0.76434507,0.0219551,0.00140427,3251.289199,4,3251.289198,-0.76434507
Blanco County,Texas,TX,48,31,48031,11374,15.9,713.43,0.00024905,0.00007904,0.00109688,1862.106755,1,1862.106754,-0.00024905
